LC,caribou_density,season,pft,count,mean,variance
Barren,Medium,winter,Willow,588842,0.00026928,0.000876596
Barren,Medium,winter,Lichens,588842,-0.004641612,0.011247422
Water,Medium,winter,Deciduous shrubs,3,0,0
Water,Medium,winter,Evergreen shrubs,3,0,0
Water,Medium,winter,Forbs,3,0.096033335,0.018444803
Water,Medium,winter,Alder,3,0,0
Water,Medium,winter,Birch,3,0,0
Water,Medium,winter,Graminoids,3,0,0
Water,Medium,winter,Willow,3,0,0
Water,Medium,winter,Lichens,3,0,0
Evergreen forest,High,winter,Deciduous shrubs,127695,0.0963714,0.020178306
Evergreen forest,High,winter,Evergreen shrubs,127695,0.000302618,0.001788674
Evergreen forest,High,winter,Forbs,127695,9.55355E-05,0.000622205
Evergreen forest,High,winter,Alder,127695,0.055760032,0.006217817
Evergreen forest,High,winter,Birch,127695,0.041990697,0.01341535
Evergreen forest,High,winter,Graminoids,127695,-0.001841819,0.001789478
Evergreen forest,High,winter,Willow,127695,-0.005898542,0.001409637
Evergreen forest,High,winter,Lichens,127695,-0.101047361,0.0186468
Deciduous forest,High,winter,Deciduous shrubs,18,0.005327778,0.010680613
Deciduous forest,High,winter,Evergreen shrubs,18,0.054566666,0.007151445
Deciduous forest,High,winter,Forbs,18,0.016933334,0.001896723
Deciduous forest,High,winter,Alder,18,0.038961111,0.022277868
Deciduous forest,High,winter,Birch,18,0.047416667,0.046272645
Deciduous forest,High,winter,Graminoids,18,0.0092,0.000764421
Deciduous forest,High,winter,Willow,18,-0.054272222,0.009108373
Deciduous forest,High,winter,Lichens,18,-0.028288889,0.003636915
Mixed forest,High,winter,Deciduous shrubs,761,0.127276347,0.033815813
Mixed forest,High,winter,Evergreen shrubs,761,-0.002600394,0.005945871
Mixed forest,High,winter,Forbs,761,0.00204021,0.000642
Mixed forest,High,winter,Alder,761,0.089583443,0.016057609
Mixed forest,High,winter,Birch,761,0.086071879,0.038622755
Mixed forest,High,winter,Graminoids,761,-0.026422602,0.005877092
Mixed forest,High,winter,Willow,761,-0.019983968,0.0030082
Mixed forest,High,winter,Lichens,761,-0.061843627,0.012205246
Woodland,High,winter,Deciduous shrubs,1485913,0.096947317,0.021859689
Woodland,High,winter,Evergreen shrubs,1485913,0.004153814,0.00250536
Woodland,High,winter,Forbs,1485913,0.001030625,0.000691101
Woodland,High,winter,Alder,1485913,0.048304865,0.006267879
Woodland,High,winter,Birch,1485913,0.039442409,0.016052077
Woodland,High,winter,Graminoids,1485913,-0.010935763,0.006931117
Woodland,High,winter,Willow,1485913,-0.006749818,0.001960827
Woodland,High,winter,Lichens,1485913,-0.096984031,0.019682009
Low shrub,High,winter,Deciduous shrubs,724115,0.078944363,0.025370955
