LC,allDecShrub_count_0,allDecShrub_count_1,allDecShrub_count_2,allDecShrub_count_neg1,allDecShrub_count_neg2,allEvShrub_count_0,allEvShrub_count_1,allEvShrub_count_2,allEvShrub_count_neg1,allEvShrub_count_neg2,allForb_count_0,allForb_count_1,allForb_count_2,allForb_count_neg1,allForb_count_neg2,alnshr_count_0,alnshr_count_1,alnshr_count_2,alnshr_count_neg1,alnshr_count_neg2,betshr_count_0,betshr_count_1,betshr_count_2,betshr_count_neg1,betshr_count_neg2,caribou_density,graminoid_count_0,graminoid_count_1,graminoid_count_2,graminoid_count_neg1,graminoid_count_neg2,salshr_count_0,salshr_count_1,salshr_count_2,salshr_count_neg1,salshr_count_neg2,season,tmlichen_count_0,tmlichen_count_1,tmlichen_count_2,tmlichen_count_neg1,tmlichen_count_neg2
LC10,211897,120273,39463,40196,6568,102820,150239,676,163978,684,266924,87132,655,63291,395,408324,7790,1257,1023,3,226299,110959,23855,53119,4165,3,189104,128151,3680,96828,634,262780,103086,3184,48594,753,precalving,93812,130040,2083,180416,12046
LC11,38418,344563,7223,53149,634,105182,188491,1540,147364,1410,408858,28365,106,6593,65,165235,243879,20109,14711,53,47919,237499,24539,125563,8467,3,122097,58302,1745,247977,13866,120167,141298,1467,179244,1811,precalving,108309,28374,533,292396,14375
LC12,4,20,22,3,2,4,12,,34,1,49,2,,,,12,28,2,9,,12,12,8,17,2,3,35,9,,6,1,17,18,1,15,,precalving,15,13,1,22,
LC13,16,,,,,15,1,,,,9,2,,5,,16,,,,,16,,,,,3,6,4,5,1,,14,,1,1,,precalving,16,,,,
LC14,52950,10742,2470,3159,508,25693,24453,619,18609,455,52047,8310,58,9350,64,68555,1073,94,106,1,49035,13093,1768,5617,316,3,46327,14964,464,8030,44,55867,7681,147,5914,220,precalving,19466,25494,1111,23083,675
LC15,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,3,1,,,,,1,,,,,precalving,1,,,,
LC1,9213,11483,2610,1331,350,12477,4317,82,7755,356,22981,1407,7,582,10,6436,16658,971,919,3,17181,4491,263,2839,213,4,24831,75,10,67,4,14984,4745,8,5231,19,precalving,4884,1101,60,17507,1435
LC2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,precalving,,,,,
LC3,5,13,1,5,,13,4,,6,1,14,4,,6,,7,10,2,5,,12,8,1,2,1,4,15,2,,7,,11,3,,10,,precalving,8,1,,15,
LC4,75099,305585,5881,43211,1313,140809,82640,78,207145,417,398765,21693,28,10592,11,123295,283392,8514,15881,7,98440,155591,8986,159235,8837,4,285694,28348,340,112511,4196,173330,164133,530,93026,70,precalving,67072,20354,219,320301,23143
LC5,29143,161470,2958,48968,1387,43981,69879,1628,127580,858,217057,19882,24,6947,16,121125,105921,7369,9456,55,31559,109533,8507,89286,5041,4,78885,23853,260,129644,11284,88688,100018,2010,52806,404,precalving,49049,19141,109,158702,16925
LC6,1208,9393,241,2936,57,2831,5096,111,5721,76,10944,2350,1,538,2,4851,6654,1525,797,8,1366,6533,542,4947,447,4,2693,1034,12,8986,1110,2503,5093,78,6127,34,precalving,4617,683,6,7911,618
LC7,243,1431,15,341,3,327,735,,970,1,1917,100,,16,,1598,365,43,26,1,259,1045,14,700,15,4,723,519,5,773,13,567,1034,11,420,1,precalving,164,92,,1454,323
LC8,7253,63082,1704,11423,157,12842,29312,656,40477,332,67204,11723,42,4602,48,57625,15565,7640,2573,216,9734,46408,6121,20748,608,4,16903,16557,262,46543,3354,21538,31702,615,29256,508,precalving,10443,6931,130,55004,11111
LC9,15454,139006,3138,22090,254,28057,86190,838,64158,699,168782,9776,1,1379,4,124063,44507,8179,3097,96,21179,92912,6031,58929,891,4,23338,22487,173,123657,10287,66276,55487,3738,52752,1689,precalving,27948,13370,67,113791,24766
LC10,48735,30137,8906,12406,2214,21894,30865,454,48971,214,67067,22077,86,13120,48,98607,3290,193,308,,50714,28774,5021,16489,1400,4,49068,30696,311,22061,262,63159,26049,1039,11909,242,precalving,19246,29739,592,49643,3178
LC11,14438,151282,2050,23905,143,41987,55157,180,94172,322,176955,12577,12,2249,25,60039,116813,8026,6911,29,18145,92841,9278,65943,5611,4,46353,19895,227,116854,8489,47782,79631,1218,62941,246,precalving,37631,9182,64,133932,11009
LC12,,,,1,,,,,1,,1,,,,,,1,,,,,,,1,,4,1,,,,,,1,,,,precalving,,,,,1
LC13,10,,,,,8,1,,1,,6,1,,,3,10,,,,,10,,,,,4,3,1,6,,,8,1,,,1,precalving,8,,2,,
LC14,15890,1936,473,707,103,7987,5262,240,5440,180,15145,2151,12,1767,34,18766,291,23,29,,15236,2528,251,1057,37,4,14440,3176,101,1372,20,15884,1569,44,1551,61,precalving,5204,7537,336,5907,125
LC15,1,,1,,,1,1,,,,1,1,,,,2,,,,,2,,,,,4,1,,1,,,1,1,,,,precalving,1,,1,,
